# source, target
0,12
0,15
0,17
0,18
0,20
0,40
0,42
0,47
1,2
1,4
1,5
1,16
1,27
1,37
1,39
1,41
1,56
1,62
1,63
1,64
1,67
2,4
2,5
2,16
2,27
2,31
2,37
2,39
2,41
2,56
2,62
2,63
2,64
2,67
4,5
4,16
4,27
4,37
4,39
4,41
4,56
4,62
4,63
4,64
4,67
5,16
5,27
5,31
5,37
5,39
5,41
5,56
5,62
5,63
5,64
5,67
6,29
6,30
6,31
6,32
6,35
6,36
6,44
6,77
6,106
9,10
9,11
9,66
10,11
10,66
11,65
11,66
12,15
12,17
12,18
12,20
12,40
12,42
12,47
13,14
13,134
14,134
15,18
15,40
15,42
16,27
16,37
16,39
16,41
16,56
16,62
16,63
16,64
16,67
17,18
17,20
17,47
18,20
18,40
18,42
18,47
19,33
19,34
19,35
19,36
19,44
19,45
19,46
19,79
19,92
19,128
19,171
19,172
19,173
19,174
19,175
19,198
19,201
19,216
19,217
19,233
19,241
19,246
19,258
19,265
19,266
19,294
19,302
20,47
20,48
20,49
21,22
21,23
21,32
22,23
22,32
23,32
25,26
25,50
25,57
25,58
25,59
25,60
25,61
26,28
26,50
26,57
26,58
26,59
26,60
26,61
27,31
27,37
27,39
27,41
27,56
27,62
27,63
27,64
27,67
28,57
28,60
28,61
29,30
29,31
29,32
29,35
29,36
29,44
30,31
30,32
30,35
30,36
30,44
31,32
31,35
31,36
31,44
31,56
32,35
32,36
32,44
33,34
33,35
33,36
33,44
33,45
33,46
33,128
33,198
33,294
33,302
34,35
34,36
34,44
34,45
34,46
34,128
34,198
34,294
34,302
35,36
35,44
35,45
35,46
35,79
35,92
35,128
35,171
35,172
35,173
35,174
35,175
35,198
35,201
35,216
35,217
35,233
35,241
35,246
35,258
35,265
35,266
35,294
35,302
36,44
36,45
36,46
36,79
36,92
36,128
36,171
36,172
36,173
36,174
36,175
36,198
36,201
36,216
36,217
36,233
36,241
36,246
36,258
36,265
36,266
36,294
36,302
37,39
37,41
37,56
37,62
37,63
37,64
37,67
39,41
39,56
39,62
39,63
39,64
39,67
40,42
41,56
41,62
41,63
41,64
41,67
43,48
43,49
44,45
44,46
44,79
44,92
44,128
44,171
44,172
44,173
44,174
44,175
44,198
44,201
44,216
44,217
44,233
44,241
44,246
44,258
44,265
44,266
44,294
44,302
45,46
45,79
45,92
45,128
45,171
45,172
45,173
45,174
45,175
45,198
45,201
45,216
45,217
45,233
45,241
45,246
45,258
45,265
45,266
45,294
45,302
46,79
46,92
46,128
46,171
46,172
46,173
46,174
46,175
46,198
46,201
46,216
46,217
46,233
46,241
46,246
46,258
46,265
46,266
46,294
46,302
47,48
47,49
48,49
50,57
50,58
50,59
50,60
50,61
51,52
51,53
51,54
52,53
52,54
53,54
56,62
56,63
56,64
56,67
57,58
57,59
57,60
57,61
58,59
58,60
58,61
59,60
59,61
60,61
62,63
62,64
62,67
63,64
63,67
64,67
68,136
68,211
68,212
68,213
68,218
68,305
69,96
69,97
69,98
69,166
69,167
69,202
69,203
69,208
69,249
69,250
69,251
69,264
69,267
69,268
69,287
69,288
69,289
69,292
70,71
70,255
72,74
72,182
72,299
72,303
73,81
73,89
73,117
73,118
73,119
73,121
73,122
73,123
73,133
73,140
73,145
73,189
73,298
74,163
74,182
74,299
74,303
74,306
75,128
75,130
75,131
75,132
75,141
75,142
75,180
75,188
75,190
75,196
75,197
75,206
75,223
77,111
78,281
78,282
79,92
79,128
79,172
79,173
79,191
79,198
79,216
79,217
79,221
79,222
79,233
79,241
79,246
79,258
79,265
79,266
79,277
79,285
79,294
79,297
79,301
79,302
80,93
80,208
80,210
80,280
80,283
80,284
81,89
81,91
81,120
81,133
81,140
81,145
81,147
81,189
81,298
82,184
83,107
83,108
83,115
83,124
83,261
84,85
84,86
84,87
84,254
84,277
84,296
84,297
84,301
85,86
85,87
85,254
85,277
85,296
85,297
85,301
86,87
86,254
86,277
86,296
86,297
86,301
87,254
87,277
87,296
87,297
87,301
88,95
88,126
89,117
89,118
89,119
89,121
89,122
89,123
89,133
89,140
89,145
89,176
89,189
89,298
90,224
90,231
90,235
90,236
90,238
90,243
91,120
91,145
91,147
91,176
91,281
91,282
92,112
92,128
92,172
92,173
92,198
92,216
92,217
92,233
92,241
92,246
92,258
92,265
92,266
92,270
92,271
92,277
92,294
92,297
92,301
92,302
93,208
93,210
93,280
93,283
93,284
94,102
94,103
94,104
94,105
94,106
94,110
94,205
94,285
95,126
96,97
96,98
96,202
96,203
96,208
96,249
96,250
96,251
96,264
96,267
96,268
96,286
96,287
96,288
96,289
96,292
97,98
97,202
97,203
97,208
97,249
97,250
97,251
97,264
97,267
97,268
97,281
97,282
